Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-11-10 14:30:00+00:00,271.85699462890625,288.7200012207031,504.5,273.7300109863281,290.42999267578125,506.489990234375,268.95001220703125,283.5400085449219,498.79998779296875,268.95001220703125,285.2099914550781,499.8500061035156,7030981,4164797,3813082
2025-11-10 15:30:00+00:00,269.06640625,286.96551513671875,502.07501220703125,271.989990234375,289.2698974609375,504.6700134277344,269.04998779296875,286.19000244140625,501.5799865722656,271.8299865722656,288.7049865722656,504.5,3083676,1570763,1363021
2025-11-10 16:30:00+00:00,269.0799865722656,287.30999755859375,501.3349914550781,269.7587890625,287.5799865722656,502.2098083496094,268.489990234375,286.2001037597656,499.989990234375,269.0400085449219,286.94500732421875,502.07501220703125,2346213,892605,1363650
2025-11-10 17:30:00+00:00,269.7300109863281,288.8399963378906,504.47198486328125,270.2300109863281,289.3299865722656,504.73431396484375,269.010009765625,287.260009765625,501.29998779296875,269.07000732421875,287.3399963378906,501.3714904785156,1807442,743976,1000194
2025-11-10 18:30:00+00:00,269.6600036621094,291.1000061035156,504.80010986328125,270.3077087402344,291.42999267578125,505.92999267578125,267.4549865722656,288.8500061035156,503.9599914550781,269.7099914550781,288.8699951171875,504.510009765625,3188667,1315791,1033927
2025-11-10 19:30:00+00:00,269.11859130859375,290.55999755859375,505.80999755859375,269.80999755859375,291.4595031738281,506.7699890136719,269.04998779296875,290.4200134277344,504.8299865722656,269.6300048828125,291.0899963378906,504.8500061035156,2248210,1095959,1169626
2025-11-10 20:30:00+00:00,269.3599853515625,290.5899963378906,506.0,269.6000061035156,291.2388000488281,506.7099914550781,268.760009765625,290.42999267578125,505.0199890136719,269.1000061035156,290.5400085449219,505.80999755859375,2892894,1716713,10316610
2025-11-11 14:30:00+00:00,274.1000061035156,289.4599914550781,504.7294921875,274.739990234375,291.6940002441406,506.20001220703125,269.79998779296875,287.8800048828125,502.6000061035156,269.80999755859375,288.20001220703125,504.79998779296875,9244708,2757570,1795578
