Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-11-07 14:30:00+00:00,271.5799865722656,278.7900085449219,496.0284118652344,272.2900085449219,284.5,499.37701416015625,267.2699890136719,276.3900146484375,493.25,269.7950134277344,284.17999267578125,496.67999267578125,7855390,4694504,3751026
2025-11-07 15:30:00+00:00,269.5299987792969,277.1709899902344,495.19000244140625,271.9700012207031,279.11248779296875,496.82000732421875,269.4800109863281,276.3699951171875,493.8699951171875,271.55999755859375,278.760986328125,496.05999755859375,3991205,2407170,1522456
2025-11-07 16:30:00+00:00,269.1099853515625,277.8699951171875,494.8550109863281,269.8900146484375,278.2699890136719,495.69000244140625,268.32000732421875,275.739990234375,494.17999267578125,269.5199890136719,277.17498779296875,495.19000244140625,3276263,1326205,1209896
2025-11-07 17:30:00+00:00,268.45001220703125,278.1033935546875,495.57501220703125,269.1400146484375,278.3629150390625,495.5799865722656,268.0588073730469,277.07000732421875,493.6099853515625,269.114990234375,277.8500061035156,494.81500244140625,2041690,961157,1001105
2025-11-07 18:30:00+00:00,267.25,277.82000732421875,495.7699890136719,268.6600036621094,278.3900146484375,496.6400146484375,267.0950012207031,277.0400085449219,494.55999755859375,268.45001220703125,278.1000061035156,495.57501220703125,2217548,887889,1061095
2025-11-07 19:30:00+00:00,267.7598876953125,278.9909973144531,496.7025146484375,268.5,280.0899963378906,497.4599914550781,266.7799987792969,277.8599853515625,495.1499938964844,267.260009765625,277.8599853515625,495.7900085449219,3921327,1213164,1645935
2025-11-07 20:30:00+00:00,268.4200134277344,279.6300048828125,496.9200134277344,268.5799865722656,279.82000732421875,498.29998779296875,267.69000244140625,278.79998779296875,495.6099853515625,267.760009765625,278.989990234375,496.7300109863281,3276821,1389312,2409941
2025-11-10 14:30:00+00:00,271.85699462890625,288.7200012207031,504.5,273.7300109863281,290.42999267578125,506.489990234375,268.95001220703125,283.5400085449219,498.79998779296875,268.95001220703125,285.2099914550781,499.8500061035156,7030981,4164797,3813082
